Registracijos numeris,Registracijos data,docReklaminės veiklos subjektas (užsakovas),docReklaminės veiklos subjekto (užsakovo) buveinės adresas,docReklamos apmokestinamas plotas,docReklamos komisijos posėdžio data,docReklamos komisijos posėdžio protokolo Nr.,docReklamos leidimas galioja iki (data),docReklamos plotas (kv. m),docReklamos tipas,docReklamos turinys,docReklamos vykdytojas,docReklamos įrengimo adresas (gatvė),docReklamos įrengimo adresas (namo Nr.),docReklamos įrengimo adresas(seniūnija),docPastabos
A635-361/15(2.3.2.1-EK6),4/24/2015,UAB „Septora“,"Aušros Vartų g. 15-8, Vilnius",,2015.04.01 00:00,A16-285/15(2.1.43-EK6),2016.04.23 00:00,"0,96",IVR ant pastato fasado,"„IŠPARDUOTUVĖ „FASHION OUTLET“ AVALYNĖ, DRABUŽIAI",,Aušros Vartų g.,15,Senamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai vieneriems metams.
A635-362/15(2.3.2.1-EK6),4/24/2015,UAB „Gym LT“,"Kareivių g. 14, Vilnius",,2015.04.08 00:00,A16-318/15(2.1.43-EK6),2018.04.23 00:00,"4,75",IVR ant pastato fasado,LEMON GYM,,Konstitucijos pr.,7A,Šnipiškių,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai LEMON GYM trejiems metams.
A635-360/15(2.3.2.1-EK6),4/24/2015,UAB „Carolina Studio“,"Didžioji g. 11-15, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2020.04.23 00:00,"0,21",IVR ant pastato fasado,„CAROLINA MAKE-UP STUDIO“ MAKIAŽO STUDIJA,,Didžioji g.,11,Senamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-363/15(2.3.2.1-EK6),4/27/2015,"UAB ,,TOKYO“","Žalgirio g. 114, Vilnius",,2015.04.08 00:00,A16-318/15(2.1.43-EK6),2020.04.26 00:00,"1,92",IVR ant pastato fasado,FIT FOOD DĖL SAVĘS; SOYA ASIAN FUSION,,A. Vienuolio g.,4,Naujamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-370/15(2.3.2.1-EK6),4/28/2015,UAB „ZEPTER INTERNATIONAL“,"A. Goštauto g. 40A, Vilnius",,2015.04.08 00:00,A16-318/15(2.1.43-EK6),2020.04.27 00:00,"1,14",IVR ant pastato fasado,„ZEPTER INTERNATIONAL“ PARDUOTUVĖ,,A. Goštauto g.,40A,Naujamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-369/15(2.3.2.1-EK6),4/28/2015,UAB „Automobilių dalys“,"Ozo g. 20, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2020.04.27 00:00,"3,5",IVR ant pastato fasado,FORD AUTOMOBILIŲ DALYS; VISUREIGIŲ DALYS,,Ozo g.,20,Šeškinės,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-371/15(2.3.2.1-EK6),4/28/2015,UAB „Interversus“,"Pramonės g. 97, Vilnius",,2015.03.12 00:00,A16-220/15(2.1.43-EK6),2020.04.27 00:00,"0,56",IVR ant pastato fasado,EROTINĖS PREKĖS,,Gedimino pr.,45,Naujamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-365/15(2.3.2.1-EK6),4/28/2015,UAB „OBER-HAUS“ nekilnojamas turtas,"Geležinio Vilko g. 18A, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2020.04.27 00:00,"1,18",IVR ant pastato fasado,„OBER HAUS“ NEKILNOJAMASIS TURTAS,,A. Jakšto g.,6A,Naujamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-367/15(2.3.2.1-EK6),4/28/2015,UAB „Litectus“,"Juozo Balčikonio g. 3, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2015.10.27 00:00,"2,16",IVR ant pastato fasado,UAB „LITECTUS“ PARDUODAMAS SKLYPAS,,Liepkalnio g.,152,Rasų,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai (183 kalendorinėms dienoms).
A635-373/15(2.3.2.1-EK6),4/28/2015,UAB „Gintarinė vaistinė“,"Erdvės g. 51, Ramučių k., Kauno r. sav.",,2015.03.25 00:00,A16-258/15(2.1.43-EK6),2020.04.27 00:00,"4,11",IVR ant pastato fasado,GINTARINĖ VAISTINĖ,,Molėtų pl.,49,Verkių,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-372/15(2.3.2.1-EK6),4/28/2015,UAB „Gintarinė vaistinė“,"Erdvės g. 51, Ramučių k., Kauno r. sav.",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2020.04.27 00:00,"1,16",IVR ant pastato fasado,GINTARINĖ VAISTINĖ,,K. Kalinausko g.,4,Senamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-366/15(2.3.2.1-EK6),4/28/2015,UAB „Reitan Convenience Lithuania“,Laisvės pr. 58 Vilnius,"1,44",2015.04.22 00:00,A16-363/15(2.1.43-EK6),2020.04.27 00:00,"1,44",IVR ant prekybos paviljono,*,,T. Vrublevskio g.,2,Senamiestis,
A635-368/15(2.3.2.1-EK6),4/28/2015,"DAIKTAMS.LT, UAB","Savanorių pr. 180, Vilnius",,2015.04.08 00:00,A16-318/15(2.1.43-EK6),2020.04.27 00:00,"18,08",IVR ant pastato fasado,VIETA TAVO DAIKTAMS.LT,,Savanorių pr.,180,Vilkpėdės,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-364/15(2.3.2.1-EK6),4/28/2015,Martynas Galkus,,,2015.04.22 00:00,A16-363/15(2.1.43-EK6),2020.04.27 00:00,"0,13",IVR ant pastato fasado,KNYGYNAS „FRENDO“,,Pylimo g.,40,Senamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-374/15(2.3.2.1-EK6),4/29/2015,UAB „Vitras-S”,"Sandėlių g. 44, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2018.04.28 00:00,"7,02",IVR ant pastato ir vėliavos stiebo,VITRAS-S,,Sandėlių g.,44,Panerių,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai trims metams.
A635-376/15(2.3.2.1-EK6),4/30/2015,UAB „Gelios“,"Buivydiškių g. 6-110, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2016.04.29 00:00,"0,92",IVR ant pastato fasado,„GELIOS“ GROŽIO STUDIJA,,Buivydiškių g.,6,Šeškinės,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai vieneriems metams.
A635-381/15(2.3.2.1-EK6),4/30/2015,UAB „Žibintas“,Savanorių pr. 217,,2015.05.01 00:00,A16-285/15(2.1.43-EK6),2016.05.09 00:00,"6,0",IVR ANT INŽINERINIO REKLAMINIO STATINIO,"„Autoservisas, UAB „Žibintas“, Savanorių pr. 217 1,1km., PEUGEOT, CITROĖN, ISUZU, SUZUKI +370 5 231 1514“",UAB „Žibintas“,Savanorių pr.,217,Vilkpėdės,"Nuspręsta išduoti leidimą reklamai ant vienpusio (bendras plotas 6,0 kv. m) reklaminio inžinerinio statinio vieneriems metams (366 kalendorinėm dienom) nuo 2015-05-10 ant Savivaldybei priklausančių ar"
A635-375/15(2.3.2.1-EK6),4/30/2015,UAB „Balt Parket“,"Dariaus ir Girėno g. 19, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2016.04.29 00:00,"1,6",IVR ant pastato fasado,„BALTPARKET“ MEDINIŲ GRINDŲ SALONAS,,Žirmūnų g.,70,Žirmūnų,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai vieneriems metams.
A635-377/15(2.3.2.1-EK6),4/30/2015,UAB „MECRO TECHNIKONAS“,"Islandijos pl. 5, Kaunas",,2014.11.26 00:00,A16-1051/14(2.1.43-EK6),2020.04.29 00:00,3,IVR ant pastato fasado,"SODO EKSPERTAI.LT; TECHNIKA, APTARNAVIMAS, PATARIMAI",,Savanorių pr.,119,Vilkpėdės,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams
A635-379/15(2.3.2.1-EK6),4/30/2015,UAB „YIT Kausta būstas“,"Viršuliškių skg. 34-1, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2016.04.29 00:00,24,IVR ant statybinio aptvėrimo,YIT „NAUJOJI RIVJERA“ YITBUSTAS.LT,,Sporto g.,5,Žirmūnų,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai vieneriems metams (366 kalendorinėms dienoms).
A635-380/15(2.3.2.1E-EK6),4/30/2015,UAB „ASBS“,"Apolinaro Juozo Povilaičio g. 8-84, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2016.04.29 00:00,"1,67",IVR ant pastato fasado,„BISTRO 178“ VERSLO PIETŪS BANKETAI INFO@BISTRO178.LT,,Savanorių pr.,178,Vilkpėdės,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai vieneriems metams (366 kalendorinėms dienoms).
A635-378/15(2.3.2.1-EK6),4/30/2015,UAB „ULMA CONSTRUCCION BALTIC“,"Justiniškių g. 126, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2018.04.29 00:00,2,IVR ant pastato fasado,"„ULMA“ BIURAS, SANDĖLIS",,Justiniškių g.,126,Justiniškių,"Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai trims metams su sąlyga, kad bus atsisakyta rodyklės ir 50 M vaizdavimo reklamoje."
A635-384/15(2.3.2.1-EK6),5/4/2015,UAB „EKO2ŠILUMA“,"Palemono g. 1A, Kaunas",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2020.05.03 00:00,"2,93",IVR ant pastato fasado,„MITSUBISHI ELECTRIC“  ŠILUMOS SIURBLIAI,,Eigulių g.,2,Vilkpėdės,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-382/15(2.3.2.1-EK6),5/4/2015,UAB „Tele-3“ radijas,"Kalvarijų g. 135, Vilnius",,2015.03.25 00:00,A16-258/15(2.1.43-EK6),2020.05.03 00:00,"1,52",IVR ant pastato fasado,POWER HIT RADIO,,Kalvarijų g.,135,Žirmūnų,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams UAB „Tele-3“ radijas pagal pateiktą projektą „POWER HIT RADIO“.
A635-383/15(2.3.2.1-EK6),5/4/2015,UAB „Motomenas“,"Dariaus ir Girėno g. 99, Vilnius",,2015.04.22 00:00,A16-363/15(2.1.43-EK6),2020.05.03 00:00,"3,42",IVR ant pastato fasado,„MOTOMENAS“ AUTOMOBILIŲ KĖBULO REMONTAS IR DAŽYMAS,,Dariaus ir Girėno g.,99,Naujininkų,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-386/15(2.3.2.1-EK6),5/4/2015,UAB „MAX TOP1“,"Savanorių pr. 174P , Vilnius",,2015.04.22 00:00,A16-363/15(2.1.43-EK6),2020.05.03 00:00,"3,89",IVR ant pastato fasado,„MAXTOP1“ VISKAS BALDŲ GAMYBAI,,Savanorių pr.,174P,Vilkpėdės,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-385/15(2.3.2.1-EK6),5/4/2015,UAB „Mažieji apartamentai“,"Mindaugo g. 1A, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2016.05.03 00:00,"3,8",IVR ant pastato fasado,O KADA ATSIKRAUSTOTE JŪS? NAUJI BŪSTAI SENAMIESČIO TERASOSE LAUKIA JŪSŲ,,Mindaugo g.,1A,Naujamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai vieneriems metams (366 kalendorinėms dienoms).
A635-387/15(2.3.2.1-EK6),5/5/2015,UAB „LAIKS MODA LUX“,"Kauno g. 3, Vilnius",,2015.04.22 00:00,A16-363/15(2.1.43-EK6),2017.05.04 00:00,"3,85",IVR ant pastato fasado,GROŽIO STUDIJA „LAIKS MODA LUX“,,Kauno g.,3,Senamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai dvejiems metams.
A635-390/15(2.3.2.1-EK6),5/5/2015,UAB „Tavo kryptis“,"Bitininkų g. 1A-26, Vilnius",,2015.04.22 00:00,A16-363/15(2.1.43-EK6),2018.05.04 00:00,"1,36",IVR ant pastato fasado,PASAULIO DRABUŽIAI,,Kalvarijų g.,61,Šnipiškių,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai trims metams.
A635-389/15(2.3.2.1-EK6),5/5/2015,UAB „JERUZALĖS VAISTINĖ“,"Jeruzalės g. 10, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2017.05.04 00:00,"2,64",IVR ant pastato fasado,JERUZALĖS VAISTINĖ,,Jeruzalės g.,10,Verkių,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai dvejiems metams.
A635-388/15(2.3.2.1-EK6),5/5/2015,UAB „ELITĖJA“,"Lentpjūvių g. 4, Panevėžys",,2015.04.22 00:00,A16-363/15(2.1.43-EK6),2020.05.04 00:00,"3,53",IVR ant pastato fasado,„ELITĖJA“ ĄŽUOLINĖS GRINDYS,,Savanorių pr.,6,Naujamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-391/15(2.3.2.1-EK6),5/5/2015,UAB „Stom Art Studija“,"J. Basanavičiaus g. 9, Vilnius",,2014.11.12 00:00,A16-1010/14(2.1.43-EK6),2020.05.04 00:00,"1,41",IVR ant pastato fasado,STOMATOLOGIJOS KLINIKA „STOMART STUDIJA“,,J. Basanavičiaus g.,9,Senamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-393/15(2.3.2.1-EK6),5/6/2015,UAB „Internetinė prekyba“,"Kalvarijų g. 125, Vilnius",,2015.04.01 00:00,A16-285/15(2.1.43-EK6),2020.05.05 00:00,"3,16",IVR ant pastato fasado,GROŽIO SALONAS,,Kalvarijų g.,125,Žirmūnų,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-399/15(2.3.2.1-EK6),5/6/2015,UAB „Palink“,"Lentvario g. 33, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2020.05.05 00:00,"41,41",IVR ant pastato fasado,„IKI“ PREKYBOS CENTRAS,,Nemenčinės pl.,2,Antakalnio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-398/15(2.3.2.1-EK6),5/6/2015,MB „Pasaulio maistas“,"Vytauto g. 6-13, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2020.05.05 00:00,"0,48",IVR ant pastato fasado,„FRESH FRIENDLY FAMILY“ RESTORANAS,,Bebrų g.,7,Žvėryno,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-405/15(2.3.2.1-EK6),5/6/2015,UAB „Leovira“,Žarijų g. 4,,2015.04.29 00:00,A16-386/15(2.1.43-EK6),2020.05.06 00:00,"5,0",IVR ANT INŽINERINIO REKLAMINIO STATINIO,įvairi komercinė reklama,UAB „Leovira“,Žarijų,4,Panerių,Nuspręsta siūlyti Vilniaus miesto savivaldybės administratoriaus direktoriaus įgaliotam asmeniui išduoti leidimą reklamai ant reklaminio inžinerinio statinio (bendras plotas 5 kv. m) penkeriems metams
A635-397/15(2.3.2.1-EK6),5/6/2015,IĮ „Agrija LT“,"Ozo g. 20, Vilnius",,2014.12.10 00:00,A16-1101/14(2.1.43-EK6),2020.05.05 00:00,"7,19",IVR ant pastato fasado,„AGRIJA“ AUTOSERVISAS PLOVYKLA,,Ozo g.,20,Šeškinės,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-395/15(2.3.2.1-EK6),5/6/2015,UAB „VILNIAUS AUTOEKSPERTIZĖS CENTRAS“,"P. Lukšio g. 18, Vilnius",,2015.04.08 00:00,A16-318/15(2.1.43-EK6),2016.05.05 00:00,"6,69",IVR ant pastato fasado,"AUTOSERVISAS, RADIATORIŲ, KURO BAKŲ REMONTAS",,P. Lukšio g.,18,Žirmūnų,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai vieneriems metams.
A635-400/15(2.3.2.1-EK6),5/6/2015,UAB „Palink“,"Lentvario g. 33, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2020.05.05 00:00,"42,08",IVR ant pastato fasado,„IKI“ PREKYBOS CENTRAS,,Geležinio Vilko g.,9A,Vilkpėdės,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-402/15(2.3.2.1-EK6),5/6/2015,UAB „Šeimos klinikos diagnostikos centras“,"Apolinaro Juozo Povilaičio g. 12-172, Vilnius",,2015.04.15 00:00,A16-339/15(2.1.43-EK6),2020.05.05 00:00,"0,28",IVR ant pastato fasado,-,,Loretos Asanavičiūtės g.,20,Karoliniškių,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai (užrašams ant įėjimo durų) penkeriems metams (1827 kalendorinėms dienoms).
A635-394/15(2.3.2.1-EK6),5/6/2015,"„Lindorff Business Services“, UAB","Viršuliškių skg. 34-1, Vilnius",,2015.04.08 00:00,A16-318/15(2.1.43-EK6),2020.05.05 00:00,2,IVR ant pastato fasado,LINDORFF,,Viršuliškių skg.,34,Viršuliškių,Logotipą LINDORFF pastato viršutinėje dalyje vertinti kaip reklamos ploto įrengimą ne ant Savivaldybės objektų ir išduoti leidimą išorinei reklamai penkeriems metams (1827 kalendorinėm dienom).
A635-392/15(2.3.2.1-EK6),5/6/2015,Nijolės Žukauskienės IĮ,"Kalvarijų g. 98-19, Vilnius",,2015.04.08 00:00,A16-318/15(2.1.43-EK6),2020.05.05 00:00,"2,28",IVR ant pastato fasado,GROŽIO SALONAS,,Trakų g.,7,Senamiesčio,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai penkeriems metams.
A635-404/15(2.3.2.1-EK6),5/6/2015,UAB „CRAMO“,"Verkių g. 50, Vilnius",,2015.04.22 00:00,A16-363/15(2.1.43-EK6),2016.05.05 00:00,"25,73",IVR ant pastato fasado,-,,Verkių g.,50,Žirmūnų,Siūlyti Vilniaus miesto savivaldybės administracijos direktoriaus įgaliotam asmeniui išduoti leidimą išorinei reklamai vieneriems metams (366 kalendorinei dienai).
